nctId,briefTitle,overallStatus,startDate,firstPosted,completionDate,studyType,phases,enrollment,leadSponsor,sponsorClass,conditions,nLocations,countries
NCT07749833,EFFICACY OF ARTIFICIAL INTELLIGENCE DRIVEN PROGRAM VERSUS TRADITIONAL PHYSICAL THERAPY PROGRAM IN PATIENTS WITH LOW BACK DYSFUNCTION,NOT_YET_RECRUITING,2026-08,2026-08-06,2027-01,INTERVENTIONAL,NA,68,Cairo University,OTHER,Low Back Pain | Low Back Dysfunction,1,Egypt
NCT06909357,Creation of an Infrastructure to Support Delivery of mHealth Interventions for Cancer Patients,COMPLETED,2025-03-28,2025-04-03,2026-08-26,INTERVENTIONAL,NA,38,H. Lee Moffitt Cancer Center and Research Institute,OTHER,Smoking Cessation,3,United States
NCT04786431,Shotgun Mass Spectrometry-based Lipid Profiling in Chronic Inflammatory Diseases,COMPLETED,2015-03-01,2021-03-08,2021-03-01,OBSERVATIONAL,,427,Universidade Nova de Lisboa,OTHER,Biomarker | Lipid | Inflammation | Cardiovascular Diseases | Ischemic Stroke | Systemic Lupus Erythematosus | Healthy,0,
NCT07671469,Personalized Blood Transfusion Protocol for Cardiac Patients,NOT_YET_RECRUITING,2026-09-14,2026-06-26,2030-03-15,INTERVENTIONAL,NA,900,Yan Mia Min,OTHER,Cardiac Surgery | Blood Transfusion | Anemia | Cardiopulmonary Bypass,1,United States
NCT07403669,Cardiovascular Kidney and Metabolic Health Assessment and Patient Empowerment,RECRUITING,2025-10-22,2026-02-11,2027-04-22,INTERVENTIONAL,NA,300,"Aventyn, Inc.",INDUSTRY,Acute MI | Heart Failure | Diabetes Mellitus | Kidney Disease,5,Sweden | United States
NCT06266169,"Application of Spectral Methods to Assess Gametes, Embryos, and Human Reproductive Capabilities",UNKNOWN,2023-09-20,2024-02-20,2025-12-31,INTERVENTIONAL,NA,1064,Family Planning Center of Women's Welfare Clinic #44 of Pushkin District,OTHER_GOV,Infertility,1,Russia
NCT03865979,AI ENRICH - AI Detection of ICH,COMPLETED,2020-01-23,2019-03-07,2023-04-28,INTERVENTIONAL,NA,10,"Viz.ai, Inc.",INDUSTRY,Intracerebral Hemorrhage,6,United States
NCT06211218,Artificial Intelligence for Screening of Multiple Corneal Diseases,RECRUITING,2020-12-06,2024-01-18,2024-12-06,OBSERVATIONAL,,3000,Tianjin Eye Hospital,OTHER,Deep Learning | Corneal Disease | Screening,1,China
NCT05426980,Artificial Intelligence in Predicting Progression in Multiple Sclerosis Study,COMPLETED,2021-12-13,2022-06-22,2023-09-30,OBSERVATIONAL,,654,University of Ljubljana,OTHER,Multiple Sclerosis | Multiple Sclerosis Lesion | Multiple Sclerosis Brain Lesion,4,Slovenia
NCT05603923,Study of a PST-Trained Voice-Enabled Artificial Intelligence Counselor(SPEAC) for Adults With Emotional Distress (Phase 2),COMPLETED,2023-01-23,2022-11-03,2025-04-15,INTERVENTIONAL,NA,200,University of Illinois at Chicago,OTHER,Depression | Anxiety,2,United States
NCT06020469,"Comparative Effects of Ciprofol and Propofol on Pain Intensity on the First Day After Surgery: a Retrospective, Propensity Score Matched, Cohort Study",UNKNOWN,2023-10,2023-08-31,2023-12,OBSERVATIONAL,,6500,Guangdong Second Provincial General Hospital,OTHER,Anesthesia | Acute Pain | Risk Reduction,1,China
NCT04720924,AQCS for Detection of Early Cancer and Precancerous Lesions on Upper Gastrointestinal Tract,COMPLETED,2021-01-16,2021-01-22,2023-12-31,INTERVENTIONAL,NA,1840,Shandong University,OTHER,Esophagogastroduodenoscopy,6,China
NCT04313946,Artificial Intelligence Algorithms for Discriminating Between COVID-19 and Influenza Pneumonitis Using Chest X-Rays,UNKNOWN,2020-03-18,2020-03-18,2020-08-18,OBSERVATIONAL,,200,Professor Adrian Covic,OTHER,"COVID-19 | Pneumonia, Viral | Influenza With Pneumonia | Flu Symptom | Flu Like Illness | Pneumonia, Interstitial | Pneumonia, Ventilator-Associated | Pneumonia Atypical",3,Italy | Romania | United Kingdom
NCT05515679,The BRAIN App: Building Relationships Using Artificial Intelligence and Nostalgia,COMPLETED,2022-07-13,2022-08-25,2022-12-31,INTERVENTIONAL,NA,45,Hopeful Aging,INDUSTRY,"Dementia | Dementia, Vascular | Alzheimer Disease | Dementia, Mixed",1,United States
NCT07766382,Artificial Intelligence-Assisted Ultrasound Assessment of Laryngeal Mask Airway Placement,RECRUITING,2026-08-10,2026-08-14,2027-05-15,OBSERVATIONAL,,200,Duzce University,OTHER,Airway Management,1,Turkey (Türkiye)
NCT04814680,"Machine-Learning Algorithm for Prediction of Blood Pressure, Glycated Haemoglobin and Estimated Glomerular Filtration Rate",COMPLETED,2021-11-08,2021-03-24,2022-02-10,OBSERVATIONAL,,301,AstraZeneca,INDUSTRY,"Prediction of Blood Pressure, Glycated Haemoglobin and Estimated Glomerular Filtration Rate From Digital Retinal Images",2,Kenya
NCT05782283,A Study to Detect Advanced Liver Disease Via AI-enabled Electrocardiogram,COMPLETED,2023-04-18,2023-03-23,2025-09-01,INTERVENTIONAL,NA,279,Mayo Clinic,OTHER,Cirrhosis,1,United States
NCT07673679,GliomaAI-Astro4: MRI-Based Detection of IDH Mutant Astrocytoma Grade 4,COMPLETED,2017-03-14,2026-06-29,2021-06-16,OBSERVATIONAL,,1372,Deep Learning Institute of Radiological Sciences,OTHER,"Glioma | Glioma (Diagnosis) | Astrocytoma | Astrocytoma, Grade IV | Astrocytoma, IDH-Mutant, Grade 4",1,India
NCT06576570,Evaluation and Modification of Surgeon Ergonomics in the Operation Room Using Artificial Intelligence Analytics,ENROLLING_BY_INVITATION,2024-10-21,2024-08-28,2027-12-31,INTERVENTIONAL,NA,30,University of Florida,OTHER,Work Related Upper Limb Disorder | Musculoskeletal Pain,2,United States
NCT06471101,Applying Artificial Intelligence to Identify Subphenotypes of Acute Kidney Injury in Mexican Patients With Severe COVID-19,COMPLETED,2024-06-18,2024-06-24,2024-06-18,OBSERVATIONAL,,2934,Instituto Nacional de Enfermedades Respiratorias,OTHER_GOV,COVID-19 | Acute Kidney Injury,1,Mexico
NCT06319300,Artificial Intelligence-assisted Insulin System in Type 2 Diabetes in General Wards,COMPLETED,2024-04-19,2024-03-20,2025-09-20,INTERVENTIONAL,NA,144,Shanghai Zhongshan Hospital,OTHER,Diabetes Type 2,1,China
NCT06479421,A Clinical Study for Developing Artificial Intelligence(AI)-Based Clustering Model for Personalized Medicine in Acute Respiratory Failure,RECRUITING,2023-08-14,2024-06-28,2029-04-30,OBSERVATIONAL,,250,Samsung Medical Center,OTHER,Acute Respiratory Failure,1,South Korea
NCT07506928,NEURO - Prognostication Using Late Somatosensory Evoked - Potentials,NOT_YET_RECRUITING,2026-06-30,2026-04-02,2028-06-30,INTERVENTIONAL,NA,50,"University Hospital, Bordeaux",OTHER,Comatose | Prognosis | Critical Care,1,France
NCT07280065,REVEAL Study - Diagnostic Testing for PTSD Using the Senseye Diagnostic Tool,RECRUITING,2026-02-23,2025-12-12,2026-10,INTERVENTIONAL,PHASE3,1900,"Senseye, Inc.",INDUSTRY,PTSD - Post Traumatic Stress Disorder,6,Australia | United States
NCT06693921,Artificial Intelligence-Enhanced Three-Dimensional Reconstruction of Ridge Deficiencies,COMPLETED,2024-11-17,2024-11-19,2025-11-30,INTERVENTIONAL,NA,22,Kafrelsheikh University,OTHER,Bone Loss,2,Egypt
NCT07598721,Ambient AI Clinical Trial,COMPLETED,2024-12-19,2026-05-20,2025-07-04,INTERVENTIONAL,NA,139,University of Washington,OTHER,Artificial Intelligence (AI) | Physician Burnout | Physician Work Environment,1,United States
NCT07254234,A Study of Retinal Imaging to Detect Abnormal Protein Deposits Associated With Alzheimer's Disease,NOT_YET_RECRUITING,2025-12,2025-11-28,2026-08,OBSERVATIONAL,,200,Eli Lilly and Company,INDUSTRY,Cognitive Dysfunction | Memory Disorders,1,United Arab Emirates
NCT05357404,Age and Sex-Specific PREValence of AcqUirEd VALVular Heart DiseasE,ACTIVE_NOT_RECRUITING,2022-04-21,2022-05-02,2025-04,OBSERVATIONAL,,2870,"Cardiovascular Research Foundation, New York",OTHER,Valvular Heart Disease,1,United States
NCT07212816,Detection of Atrial Fibrillation Through Voice Signal Processing,NOT_YET_RECRUITING,2025-10-15,2025-10-08,2025-11-30,OBSERVATIONAL,,40,Vital Audio Inc,OTHER,Atrial Fibrillation (AF) | Atrial Flutter,0,
NCT06600165,Intraoperative Confocal Laser Scanning Microscopy With Use of AI for Optimized Surgical Excision of Basal Cell Carcinoma,RECRUITING,2025-03-01,2024-09-19,2027-12-31,OBSERVATIONAL,,1000,LMU Klinikum,OTHER,Basal Cell Carcinoma,1,Germany
NCT04662944,A Non-interventional Study to Assess the Influence of Automated Optical Coherence Tomography Image Enrichment With Segmentation Information on Disease Activity Assessment in Patients Treated With Licensed Anti- VEGF Injections,COMPLETED,2021-02-23,2020-12-10,2023-06-28,OBSERVATIONAL,,494,Novartis Pharmaceuticals,INDUSTRY,Neovascular Age-Related Macular Degeneration,17,Canada | Germany | Ireland | Italy | Spain
NCT06578312,"""Critical State"" Early Warning Score After CHD Surgery and Rapid Response Team",COMPLETED,2021-01-01,2024-08-29,2024-07-01,OBSERVATIONAL,,4115,"Chinese Academy of Medical Sciences, Fuwai Hospital",OTHER,Congenital Heart Disease,1,China
NCT07057830,Generative AI Radiologist's Workstation,NOT_YET_RECRUITING,2025-07-01,2025-07-10,2026-02-01,OBSERVATIONAL,,27,Research and Practical Clinical Center for Diagnostics and Telemedicine Technologies of the Moscow Health Care Department,OTHER,Study Aims to Develop and Validate a Generative AI-assistant Designed to Optimize Radiologists' Workflows and to Evaluate Its Performance,2,Russia
NCT03746392,Project to Improve Communication About Serious Illness - Pilot Study,COMPLETED,2018-07-01,2018-11-19,2020-06-30,INTERVENTIONAL,NA,150,University of Washington,OTHER,"Malignant Neoplasm | Leukemia, Lymphocytic, Chronic, B-Cell | Lung Disease Chronic | Congestive Heart Failure | Liver Failures, Chronic | Renal Insufficiency, Chronic | Dementia | Diabetes Complicatio",2,United States
NCT05521399,Heart Transplantation - Renewal,RECRUITING,2021-11-19,2022-08-30,2030-01-31,OBSERVATIONAL,,247,Northwestern University,OTHER,"Transplant, Heart | Magnetic Resonance Imaging",2,United States
NCT06516133,Online Adaptive Radiotherapy for Nasopharyngeal Carcinoma,RECRUITING,2024-05-17,2024-07-23,2030-12,INTERVENTIONAL,PHASE3,494,Sun Yat-sen University,OTHER,Nasopharyngeal Carcinoma,1,China
NCT07522944,AI-Guided Relaxation for Hemodialysis Anxiety,RECRUITING,2026-03-29,2026-04-13,2026-05-30,INTERVENTIONAL,NA,60,Alexandria University,OTHER,"Renal Insufficiency, Chronic | Anxiety | Relaxation Therapy | Maintenance Hemodialysis | Stress, Psychological",2,Egypt
NCT04955509,A Scar Recognition Software for Chronic Spinal Cord Injury (SCI),UNKNOWN,2021-09-01,2021-07-08,2023-06-01,OBSERVATIONAL,,25,Peking University Third Hospital,OTHER,Spinal Cord Injury,0,
NCT06976333,Tumor-Infiltrating Lymphocytes in Endometrial Cancer,COMPLETED,2024-12-01,2025-05-16,2025-05-08,OBSERVATIONAL,,52,Jagiellonian University,OTHER,Endometrium Cancer | Tumor Infiltration,1,Poland
NCT00330109,Identification of Clinically Occult Glioma Cells and Characterization of Glioma Behavior Through Machine Learning Analysis of Advanced Imaging Technology,UNKNOWN,2006-06,2006-05-25,2017-12,INTERVENTIONAL,NA,113,AHS Cancer Control Alberta,OTHER,Glioma,1,Canada
NCT04796987,Convolutional Neural Network for the Detection of Cervical Myelomalacia,COMPLETED,2021-04-15,2021-03-15,2021-04-22,OBSERVATIONAL,,125,Istanbul University,OTHER,Cervical Myelopathy,1,Turkey (Türkiye)
NCT06117332,AI-Powered Artificial Vision for Visual Prostheses,ENROLLING_BY_INVITATION,2023-10-02,2023-11-07,2027-08-31,INTERVENTIONAL,NA,7,"University of California, Santa Barbara",OTHER,"Blindness, Acquired",2,Spain | United States
NCT07626944,Effects of Binaural Beats and Spatialized Music on Behavioural and Psychological Symptoms of Dementia in Assisted Living Facility Residents,RECRUITING,2026-05-04,2026-06-04,2026-06-27,INTERVENTIONAL,NA,120,Maharishi International University,OTHER,BPSD | Caregiver Distress | Well-being | Mood,2,United States
NCT07251114,"AI-assisted Endoscopic Ultrasound Grading of Early Esophageal Cancer Invasion Depth: A Multicenter, Prospective, Randomized Cohort Study",RECRUITING,2025-11-20,2025-11-26,2028-12-31,INTERVENTIONAL,NA,200,Fujian Provincial Hospital,OTHER,Esophageal Cancer Stage | Early Esophageal Cancer,5,China
NCT05321784,At-Home Dermoscopy Artificial Intelligence,TERMINATED,2023-09-27,2022-04-11,2024-09-30,INTERVENTIONAL,NA,1,OHSU Knight Cancer Institute,OTHER,Malignant Skin Neoplasm,1,United States
NCT06183944,Data Clustering Study With Artificial Intelligence and Phenotyping of Patients With Acute Pulmonary Embolism,COMPLETED,2023-12-11,2023-12-28,2026-07-01,OBSERVATIONAL,,2350,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,OTHER,Pulmonary Embolism,1,France
NCT07368504,AI for Newborn Metabolic Screening,NOT_YET_RECRUITING,2027-01-01,2026-01-26,2028-11-30,INTERVENTIONAL,NA,200000,The Children's Hospital of Zhejiang University School of Medicine,OTHER,Inherited Metabolic Disorders,1,China
NCT07336407,Data Collection for the Validation of an Artificial Intelligence Software to Support Musculoskeletal Ultrasound Examination,COMPLETED,2025-09-01,2026-01-13,2025-11-30,INTERVENTIONAL,NA,79,Smart Alfa Teknoloji San. ve Tic. A.S.,INDUSTRY,Ultrasound Imaging of Anatomical Structures,3,United States
NCT06970509,Improve the Strategies of Endoscopic and Interventional Treatment of Gastroesophageal Hemorrhage in Portal Hypertension,RECRUITING,2025-03-01,2025-05-14,2032-12,OBSERVATIONAL,,1450,Shanghai Zhongshan Hospital,OTHER,Esophageal Varices | Portal Hypertension,10,China
NCT07595614,NLP Analysis of Weekly Narratives for Dynamic Clinical Assessment in SUD,RECRUITING,2025-05-25,2026-05-19,2026-09,OBSERVATIONAL,,35,Lauro Gutiérrez Castro,OTHER,Substance Use Disorder (SUD) | Addiction | Anxiety | Emotional Dysregulation | Rumination - Thoughts,1,Mexico
NCT05144633,Blue Protocol and Eko Artificial Intelligence Are Best (BEA-BEST),UNKNOWN,2021-09-09,2021-12-03,2025-04-30,OBSERVATIONAL,,100,University of Louisville,OTHER,Acute Respiratory Failure,1,United States
NCT07385885,Ultrasound-guided Non-invasive Simulation in Anesthesia Residency Training,NOT_YET_RECRUITING,2026-02-01,2026-02-04,2028-12-30,INTERVENTIONAL,NA,30,"Nanjing First Hospital, Nanjing Medical University",OTHER,Ultrasound | Needle | Residency | Anesthesiology | Training | Non-invasive,1,China
NCT06155643,EKO SENSORA: Detecting Clinically Significant Murmurs,RECRUITING,2023-10-26,2023-12-04,2027-07-26,INTERVENTIONAL,NA,300,Corewell Health South,OTHER,Heart Murmurs,1,United States
NCT06736626,The xDAPT External Validation Study,COMPLETED,2012-01-01,2024-12-17,2024-12-01,OBSERVATIONAL,,30000,Icahn School of Medicine at Mount Sinai,OTHER,Coronary Artery Disease | Percutaneous Coronary Intervention,1,United States
NCT05608135,AI-based Multi-center Research on Identification/Classification/Aided Diagnosis of Mood Disorder,UNKNOWN,2022-12-01,2022-11-08,2025-12,OBSERVATIONAL,,960,First Affiliated Hospital of Zhejiang University,OTHER,Bipolar Disorder Depression | Major Depression,1,China
NCT06026852,Validation of Betalactam ML Prediction Models - TDMAide,UNKNOWN,2024-09-26,2023-09-07,2025-05-31,INTERVENTIONAL,NA,600,"University Hospital, Ghent",OTHER,Infections,1,Belgium
NCT07362615,An AI-Assisted Art Therapy Co-Creation Intervention,NOT_YET_RECRUITING,2026-01-20,2026-01-23,2027-05-20,INTERVENTIONAL,NA,60,Gazi University,OTHER,Pediatric Cancer Chemotherapy-Related Symptoms Anxiety,0,
NCT06825104,Long-Term Evaluation of TAILORED Vs Anatomical Ablation Strategy for Persistent Atrial Fibrillation,RECRUITING,2025-03-06,2025-02-13,2027-12-31,OBSERVATIONAL,,278,Volta Medical,INDUSTRY,Atrial Fibrillation,13,France | Germany
NCT06749743,Accuracy Of Detection Of Dental Caries From Intraoral Images Using Different ArtificiaI Intelligence Models,NOT_YET_RECRUITING,2025-04-30,2024-12-27,2025-12-30,OBSERVATIONAL,,398,Cairo University,OTHER,Dental Caries (Diagnosis) | Artifical Intelligence | Intraoral Images,1,Egypt
NCT06760104,Comparative Accuracy of AI Models and Clinical Assessment for Dental Plaque Detection in Children,NOT_YET_RECRUITING,2025-01-01,2025-01-06,2025-12-30,OBSERVATIONAL,,323,Naema Ahmed,OTHER,Dental Plaque,1,Egypt
NCT07621055,VOLta Medical AI-software in REal-World During AF Ablation,RECRUITING,2026-06-16,2026-06-02,2030-06,OBSERVATIONAL,,150,Volta Medical,INDUSTRY,"Atrial Fibrillation | Atrial Arrhythmia | Arrhythmias, Cardiac",3,France
NCT03611387,Artificial Intelligence Screening on Patients With Primary Angle Closure Glaucoma,UNKNOWN,2018-04-01,2018-08-02,2019-12-31,OBSERVATIONAL,,1500,Sun Yat-sen University,OTHER,Ophthalmopathy,1,China
NCT04821349,Role of AI in CE for the Identification of SB Lesions in Patients With Small Intestinal Bleeding.,COMPLETED,2021-02-16,2021-03-29,2022-10-01,INTERVENTIONAL,NA,137,Fondazione Poliambulanza Istituto Ospedaliero,OTHER,Iron Deficiency Anemia | Obscure Gastrointestinal Bleeding,1,Italy
NCT03909685,Examining the Feasibility of the Ask RoSE Mobile Mental Health Application,WITHDRAWN,2022-07,2019-04-10,2022-12,INTERVENTIONAL,NA,0,Johns Hopkins University,OTHER,Mental Health Wellness 1 | Anxiety,0,
NCT03797339,Multi-omics Study of Clinical Endpoints in CHD,UNKNOWN,2017-07-01,2019-01-09,2020-12-31,OBSERVATIONAL,,4000,Guangdong Provincial People's Hospital,OTHER,Coronary Heart Disease,5,China
NCT05450822,Precision Medicine in the Treatment of Epilepsy,RECRUITING,2022-02-18,2022-07-11,2031-12-31,OBSERVATIONAL,,550,Gitte Moos Knudsen,OTHER,Epilepsy,1,Denmark
NCT05433519,Diagnostic Accuracy of a Novel Machine Learning Algorithm to Estimate Gestational Age,COMPLETED,2022-07-27,2022-06-27,2023-11-13,OBSERVATIONAL,,400,"University of North Carolina, Chapel Hill",OTHER,Gestational Age | Machine Learning | Pregnancy Related,2,United States | Zambia
NCT07804407,Prospective Evaluation of AI Generated History of Present Illness Drafts in the Emergency Department,RECRUITING,2026-09-01,2026-09-04,2026-12-31,OBSERVATIONAL,,100,Yonsei University,OTHER,All Emergency Department Visits Meeting Eligibility Criteria,1,South Korea
NCT07045181,Prediction Model of Pancreatic Neoplasms in CP Patients With Focal Pancreatic Lesions,COMPLETED,2025-07-01,2025-07-01,2025-08-05,OBSERVATIONAL,,113,Changhai Hospital,OTHER,Chronic Pancreatitis | Pancreatic Neoplasm | Machine Learning,1,China
NCT04887636,Baseline Study of Vaginal Microbiota in Healthy Chinses Female Population,COMPLETED,2021-05-21,2021-05-14,2022-07-15,OBSERVATIONAL,,1000,Peking Union Medical College Hospital,OTHER,Vagina Disease | Vaginal Community State Type,1,China
NCT05293457,AI-assisted Gastroscopic Varicose Vein Diagnosis,UNKNOWN,2022-04-25,2022-03-24,2022-12-25,OBSERVATIONAL,,793,Renmin Hospital of Wuhan University,OTHER,Artificial Intelligence,1,China
NCT05054907,Using Wearable Device to Improve Quality of Palliative Care,UNKNOWN,2021-09-23,2021-09-23,2023-04-30,OBSERVATIONAL,,75,National Taiwan University Hospital,OTHER,Terminal Cancer | End Stage Cancer,2,Taiwan
NCT06766422,"AI Models for Cerebral Aneurysms Segmentation, Detection and Stability Prediction",RECRUITING,2025-01-10,2025-01-09,2027-06-30,OBSERVATIONAL,,10000,Shanghai Jiao Tong University Affiliated Sixth People's Hospital,OTHER,"Unruptured Cerebral Aneurysm | Artificial Intelligence (AI) | Subarachnoid Hemorrhage, Aneurysmal | Magnetic Resonance Angiography",1,China
NCT06712095,Video Capsule Examination in Patients With Lynch Syndrome,RECRUITING,2024-03-04,2024-12-02,2025-10-31,INTERVENTIONAL,NA,25,Royal Marsden NHS Foundation Trust,OTHER,Lynch Syndrome | Li Fraumeni Syndrome | PTEN Hamartoma Syndrome | FAP | MUTYH Biallelic Mutation | STK11 Mutation | CDH1 Gene Mutation | CHEK2 Gene Mutation | BMPR1A Gene Mutation | SMAD4 Gene Mutatio,1,United Kingdom
NCT04399811,Near-infrared Vision for Microcirculatory Status,UNKNOWN,2020-05-17,2020-05-22,2023-12-31,OBSERVATIONAL,,2000,Shanghai Zhongshan Hospital,OTHER,Near-infrared Vision | Machine Learning | Microcirculatory Status,0,
NCT06428344,Accuracy of an Artificial Intelligence-assisted Diagnostic System for Caries Diagnosis: a Prospective Multicenter Clinical Study,NOT_YET_RECRUITING,2024-08-01,2024-05-24,2027-06-01,OBSERVATIONAL,,220,Zhejiang Provincial People's Hospital,OTHER,Dental Caries | Artificial Intellegence | Diagnosis | Machine Learning,0,
NCT05978830,Development of Multimodal Fusion Warning System and Non-invasive Techniques for Early Alzheimer's Detection.,UNKNOWN,2022-03-01,2023-08-07,2024-12-30,INTERVENTIONAL,NA,100,First Affiliated Hospital of Zhejiang University,OTHER,Alzheimer's Disease,1,China
NCT06164002,"A I in the Prediction of Clinical Performance, Marginal Fit and Fracture Resistance of Vertical Versus Horizontal Margin Designs Fabricated With 2 Ceramic Materials",ACTIVE_NOT_RECRUITING,2023-09-01,2023-12-11,2025-05-15,INTERVENTIONAL,NA,40,Faculty of Dental Medicine for Girls,OTHER_GOV,Artificial Intelligence,1,Egypt
NCT04282837,Machine Learning for Reclassification of Obesity,COMPLETED,2020-03-01,2020-02-25,2020-06-20,OBSERVATIONAL,,2495,Shanghai 10th People's Hospital,OTHER,Obesity,1,China
NCT07685301,Development and Validation of an AI Foundation Model for CNS Tumor Classification,NOT_YET_RECRUITING,2026-08-01,2026-07-06,2029-07-30,OBSERVATIONAL,,20000,Huashan Hospital,OTHER,Brain Tumors | Central Nervous System Neoplasms,0,
NCT05223712,Artificial Intelligence System for the Detection and Prediction of Kidney Diseases Using Ocular Information,UNKNOWN,2021-08-28,2022-02-04,2022-12,OBSERVATIONAL,,4000,Sun Yat-sen University,OTHER,Artificial Intelligence | Ophthalmology | Kidney Diseases,1,China
NCT07040397,Electronic Approach to the Human Massage Therapist,RECRUITING,2026-01-30,2025-06-27,2026-10-01,INTERVENTIONAL,NA,40,Mayo Clinic,OTHER,Lower Back Pain,1,United States
NCT04156880,Artificial Intelligence in Mammography-Based Breast Cancer Screening,WITHDRAWN,2020-07-01,2019-11-08,2023-12-31,OBSERVATIONAL,,0,Chinese University of Hong Kong,OTHER,Breast Cancer,1,Hong Kong
NCT06845462,Application of Artificial Intelligence Algorithm Based on CT Imaging for Muscle Parameter Measurement,COMPLETED,2023-09-05,2025-02-25,2024-12-31,OBSERVATIONAL,,1080,RenJi Hospital,OTHER,Deep Learning | Sarcopenia | Computed Tomography | Body Composition,1,China
NCT05554042,Kintsugi Voice Device Study,COMPLETED,2022-09-23,2022-09-26,2023-07-05,OBSERVATIONAL,,132,"Kintsugi Mindful Wellness, Inc.",INDUSTRY,"Depression, Anxiety",1,United States
NCT06702423,AI Chatbot for HPV Vaccine Literacy Among Caregivers in Japan,COMPLETED,2024-11-30,2024-11-25,2024-12-27,INTERVENTIONAL,NA,804,The University of Hong Kong,OTHER,Healthy,1,United Kingdom
NCT06876259,Artificial Intelligence Diagnostic Decision Support to Reduce Antimicrobial Prescriptions in Young Children With Colds,RECRUITING,2025-12-04,2025-03-14,2027-07-01,INTERVENTIONAL,NA,300,Timothy Shope,OTHER,Acute Otitis Media (AOM) | Upper Respiratory Infection,2,United States
NCT06908603,Use of Artificial Intelligence in Oral Radiology: A Multicenter Cross-Sectional Study in Egypt,COMPLETED,2024-03-13,2025-04-03,2025-01-29,OBSERVATIONAL,,1326,Cairo University,OTHER,Knowledge of AI Applications in Dental Imaging,1,Egypt
NCT04466059,Better Leukemia Diagnostics Through AI (BELUGA),RECRUITING,2020-01-05,2020-07-10,2025-07-31,OBSERVATIONAL,,25000,Munich Leukemia Laboratory,INDUSTRY,Hematologic Malignancy | Leukemia | Minimal Residual Disease | Lymphoma | Blood Cancer,1,Germany
NCT04226027,Dynamically Tailored Behavioral Interventions in Diabetes,COMPLETED,2020-01-17,2020-01-13,2025-03-30,INTERVENTIONAL,NA,300,Columbia University,OTHER,Type 2 Diabetes,2,United States
